Well	Sample
307	d +/+ 14807
308	ntc 14702
308	ntc 14702
309	ntc 14702
309	ntc 14702
310	ntc 14702
310	ntc 14702
314	ntc
314	ntc
315	ntc
315	ntc
316	ntc
316	ntc
317	ntc
317	ntc
318	ntc
318	ntc
319	ntc
319	ntc
320	ntc
320	ntc
321	ntc
321	ntc
322	ntc
322	ntc
